engine,workload,durability,threads,n,qps_mean,qps_std,p50_mean,p50_std,p95_mean,p95_std,p99_mean,p99_std,max_mean,max_std,failures_total
redline,connection-limit,normal,1,7,4869577.944133217,6810395.906799486,174.57142857142858,52.9303225724069,7592.142857142857,6365.950136692648,26253.14285714286,17963.325512727046,54232.857142857145,37254.07444575055,0
redline,connection-limit,normal,8,1,2041000.0,0.0,201.0,0.0,5667.0,0.0,23903.0,0.0,63871.0,0.0,0
redline,connection-limit,normal,16,5,5423994.192825082,5272150.095766222,173.0,41.61129654312636,11992.2,14191.224531378539,29957.4,26100.83670689505,88709.4,45118.254718018514,0
redline,connection-limit,normal,24,3,14973391.214742558,11737474.269373368,151.0,47.62352359916263,7908.333333333333,12133.75681037548,19071.0,31426.376246713524,60657.666666666664,66285.1403357746,0
redline,connection-limit,normal,32,5,35360508.78736062,74291256.22432962,175.8,67.53295491832118,22173.0,15413.641360820615,73202.2,77294.68879036904,149725.6,110864.29922116497,0
redline,connection-limit,normal,40,9,98933388.37509955,90971825.11392476,122.11111111111111,79.58398778090422,9419.222222222223,11216.165953410482,19597.555555555555,23265.299713903918,43774.22222222222,51845.73502897267,0
redline,connection-limit,normal,48,7,84485714.28571428,74804509.31085703,131.42857142857142,70.37958307837377,13175.42857142857,15868.578206181997,43015.42857142857,56869.37464299844,96507.28571428571,123347.2314750981,0
redline,connection-limit,normal,56,3,63006666.666666664,56411849.75103487,135.0,63.17436188834834,9363.0,15003.512022190005,16368.666666666666,27088.165171036104,50116.333333333336,45755.67625260644,0
redline,connection-limit,strict,1,4,5548000.0,8527227.17730291,176.25,62.17917657865855,10590.5,8129.169924824223,26430.75,17956.505383379397,56943.5,48589.1574290671,0
redline,connection-limit,strict,8,9,1678777.7777777778,365533.43820291525,406.22222222222223,321.96613866126427,8312.777777777777,2973.4848989770308,21114.555555555555,4857.9520147669,46973.22222222222,11975.464101421892,0
redline,connection-limit,strict,16,3,39635333.333333336,773934.3210721001,96.33333333333333,0.5773502691896247,656.0,1.0,669.3333333333334,0.577350269189634,11771.666666666666,12438.870098740212,0
