# Generated by: redlinedb-bench sqlite_parity report
# Source: crates/{redlinedb,sql,kernel,ffi}/src
# Command: just sqlite-parity-report-update
# DO NOT EDIT BY HAND.
component,loc,ksloc,files,source_path,notes
kernel,20594,20.6,149,crates/kernel/src,"storage, WAL, MVCC, integrity, JSONB, vector indexes"
sql,27763,27.8,111,crates/sql/src,"parser, planner, executor, JSON1, vectorized execution"
redlinedb,3619,3.6,17,crates/redlinedb/src,public Rust facade
ffi,3262,3.3,26,crates/ffi/src,SQLite-shaped C ABI bridge
redlinedb_core_total,55238,55.2,303,"crates/{redlinedb,sql,kernel,ffi}/src","production Rust source; excludes tests, benches, examples, cfg(test) items, blank lines, and comments"
sqlite_reference,155800,155.8,,fixed,fixed SQLite source-line reference
