Filename                                               Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
jankurai/src/audit/analyzers/tuiwright.rs                  156                 5    96.79%          12                 0   100.00%         123                 3    97.56%           0                 0         -
jankurai/src/audit/baseline.rs                             185                27    85.41%          10                 3    70.00%          95                13    86.32%           0                 0         -
jankurai/src/audit/boundaries_artifact.rs                  107                 1    99.07%          13                 0   100.00%          75                 0   100.00%           0                 0         -
jankurai/src/audit/boundary_reclassification.rs            536               101    81.16%          26                 2    92.31%         362                68    81.22%           0                 0         -
jankurai/src/audit/canonical_standard.rs                   465                 6    98.71%          47                 0   100.00%         311                 5    98.39%           0                 0         -
jankurai/src/audit/caps.rs                                 275                12    95.64%           2                 0   100.00%         159                 4    97.48%           0                 0         -
jankurai/src/audit/ci_local_parity.rs                      391                12    96.93%          33                 1    96.97%         297                12    95.96%           0                 0         -
jankurai/src/audit/copy_code.rs                           1746                27    98.45%         102                 1    99.02%        1132                16    98.59%           0                 0         -
jankurai/src/audit/copy_code_cross_check.rs                 71                52    26.76%           4                 2    50.00%          61                44    27.87%           0                 0         -
jankurai/src/audit/coverage.rs                            2448               666    72.79%         151                40    73.51%        1569               371    76.35%           0                 0         -
jankurai/src/audit/evidence.rs                             133                 6    95.49%          18                 0   100.00%          78                 5    93.59%           0                 0         -
jankurai/src/audit/file_kinds.rs                            52                 4    92.31%           7                 0   100.00%          28                 2    92.86%           0                 0         -
jankurai/src/audit/finding_builder.rs                      571                37    93.52%          36                 1    97.22%         455                23    94.95%           0                 0         -
jankurai/src/audit/fix_queue.rs                             69                 2    97.10%           2                 0   100.00%          38                 1    97.37%           0                 0         -
jankurai/src/audit/fs.rs                                   674                34    94.96%          42                 1    97.62%         418                21    94.98%           0                 0         -
jankurai/src/audit/fs_policy.rs                            132                 9    93.18%          16                 1    93.75%         107                 9    91.59%           0                 0         -
jankurai/src/audit/helpers.rs                             1157                17    98.53%         166                 2    98.80%         909                12    98.68%           0                 0         -
jankurai/src/audit/language_rules/catalog.rs                53                38    28.30%           3                 2    33.33%          40                17    57.50%           0                 0         -
jankurai/src/audit/language_rules/ci.rs                    397                57    85.64%          21                 1    95.24%         437                63    85.58%           0                 0         -
jankurai/src/audit/language_rules/comments.rs              591                24    95.94%          40                 1    97.50%         396                14    96.46%           0                 0         -
jankurai/src/audit/language_rules/common.rs                730                32    95.62%          43                 0   100.00%         508                17    96.65%           0                 0         -
jankurai/src/audit/language_rules/docker.rs                339                17    94.99%          19                 1    94.74%         322                16    95.03%           0                 0         -
jankurai/src/audit/language_rules/git.rs                   260                 6    97.69%          15                 0   100.00%         295                 5    98.31%           0                 0         -
jankurai/src/audit/language_rules/gittools.rs              420                24    94.29%          35                 1    97.14%         406                11    97.29%           0                 0         -
jankurai/src/audit/language_rules/mod.rs                    48                 3    93.75%           2                 1    50.00%          17                 3    82.35%           0                 0         -
jankurai/src/audit/language_rules/python.rs                366                 7    98.09%          29                 0   100.00%         300                 5    98.33%           0                 0         -
jankurai/src/audit/language_rules/release.rs               316                14    95.57%          23                 0   100.00%         338                18    94.67%           0                 0         -
jankurai/src/audit/language_rules/rust.rs                  517               239    53.77%          25                 9    64.00%         552               309    44.02%           0                 0         -
jankurai/src/audit/language_rules/sql.rs                   330                21    93.64%          18                 0   100.00%         215                11    94.88%           0                 0         -
jankurai/src/audit/language_rules/sql_migration.rs         809               136    83.19%          50                 7    86.00%         540                71    86.85%           0                 0         -
jankurai/src/audit/language_rules/typescript.rs            462                26    94.37%          30                 0   100.00%         366                21    94.26%           0                 0         -
jankurai/src/audit/mod.rs                                 2525               624    75.29%          77                16    79.22%        1754               442    74.80%           0                 0         -
jankurai/src/audit/policy.rs                                23                 7    69.57%           2                 0   100.00%          17                 4    76.47%           0                 0         -
jankurai/src/audit/profile_structure.rs                    269                 4    98.51%          26                 0   100.00%         184                 1    99.46%           0                 0         -
jankurai/src/audit/proofbind_artifact.rs                    62                14    77.42%           4                 1    75.00%          34                 9    73.53%           0                 0         -
jankurai/src/audit/prose.rs                                 52                 0   100.00%           5                 0   100.00%          37                 0   100.00%           0                 0         -
jankurai/src/audit/repo_rot.rs                             423                41    90.31%          35                 4    88.57%         345                28    91.88%           0                 0         -
jankurai/src/audit/rules.rs                                 57                 1    98.25%          10                 0   100.00%          45                 1    97.78%           0                 0         -
jankurai/src/audit/save_gate.rs                            597                28    95.31%          37                 3    91.89%         353                15    95.75%           0                 0         -
jankurai/src/audit/scan.rs                                3441               216    93.72%         224                10    95.54%        2460               140    94.31%           0                 0         -
jankurai/src/audit/security_artifact.rs                    147                21    85.71%           5                 1    80.00%          94                10    89.36%           0                 0         -
jankurai/src/audit/smart_scan.rs                           214                28    86.92%          16                 2    87.50%         162                19    88.27%           0                 0         -
jankurai/src/audit/source_context.rs                       487                46    90.55%          29                 0   100.00%         369                29    92.14%           0                 0         -
jankurai/src/audit/unnecessary_variety.rs                  404                 7    98.27%          30                 0   100.00%         261                 5    98.08%           0                 0         -
jankurai/src/audit/ux_artifact.rs                          258                20    92.25%           9                 1    88.89%         164                 8    95.12%           0                 0         -
jankurai/src/audit/web_security.rs                         594                38    93.60%          32                 1    96.88%         414                28    93.24%           0                 0         -
jankurai/src/audit/worktree_sprawl.rs                      322                15    95.34%          16                 1    93.75%         199                10    94.97%           0                 0         -
jankurai/src/audit/zyal/core.rs                            538               103    80.86%          25                 2    92.00%         450               124    72.44%           0                 0         -
jankurai/src/audit/zyal/schema.rs                         2313              1197    48.25%          83                16    80.72%        1723               965    43.99%           0                 0         -
jankurai/src/boundaries/manifest.rs                         79                 1    98.73%          10                 0   100.00%         118                 0   100.00%           0                 0         -
jankurai/src/boundaries/python.rs                            8                 8     0.00%           2                 2     0.00%           6                 6     0.00%           0                 0         -
jankurai/src/boundaries/rust.rs                              8                 8     0.00%           2                 2     0.00%           7                 7     0.00%           0                 0         -
jankurai/src/boundaries/sql.rs                              11                11     0.00%           2                 2     0.00%           8                 8     0.00%           0                 0         -
jankurai/src/boundaries/streaming.rs                        11                11     0.00%           2                 2     0.00%           8                 8     0.00%           0                 0         -
jankurai/src/boundaries/typescript.rs                        8                 8     0.00%           2                 2     0.00%           7                 7     0.00%           0                 0         -
jankurai/src/commands/adopt.rs                             430                91    78.84%          21                 3    85.71%         273                45    83.52%           0                 0         -
jankurai/src/commands/agent.rs                              17                 1    94.12%           1                 0   100.00%          11                 0   100.00%           0                 0         -
jankurai/src/commands/audit_file.rs                        225                78    65.33%          14                 5    64.29%         146                40    72.60%           0                 0         -
jankurai/src/commands/badge.rs                             974               283    70.94%          69                34    50.72%         595               171    71.26%           0                 0         -
jankurai/src/commands/bench.rs                             276                22    92.03%           8                 0   100.00%         212                 7    96.70%           0                 0         -
jankurai/src/commands/cell.rs                              300                19    93.67%          10                 1    90.00%         189                10    94.71%           0                 0         -
jankurai/src/commands/cell_catalog.rs                      989                17    98.28%          30                 1    96.67%         999                 7    99.30%           0                 0         -
jankurai/src/commands/certify.rs                           305                71    76.72%          12                 0   100.00%         217                37    82.95%           0                 0         -
jankurai/src/commands/ci.rs                                146                11    92.47%           7                 2    71.43%          85                 6    92.94%           0                 0         -
jankurai/src/commands/conformance.rs                       520                94    81.92%          29                 9    68.97%         344                50    85.47%           0                 0         -
jankurai/src/commands/context_data.rs                      272                31    88.60%          43                 7    83.72%         181                 9    95.03%           0                 0         -
jankurai/src/commands/context_pack.rs                     1159               206    82.23%          46                 3    93.48%         785               134    82.93%           0                 0         -
jankurai/src/commands/copy_code.rs                         179               145    18.99%          10                 8    20.00%         116                89    23.28%           0                 0         -
jankurai/src/commands/coverage.rs                           43                14    67.44%           2                 1    50.00%          33                13    60.61%           0                 0         -
jankurai/src/commands/diff_audit.rs                        424                90    78.77%          34                13    61.76%         277                65    76.53%           0                 0         -
jankurai/src/commands/doctor.rs                           1474               579    60.72%          60                 9    85.00%        1013               407    59.82%           0                 0         -
jankurai/src/commands/exceptions.rs                        417                51    87.77%          16                 2    87.50%         266                27    89.85%           0                 0         -
jankurai/src/commands/fleet.rs                            1091               449    58.85%          94                47    50.00%         675               284    57.93%           0                 0         -
jankurai/src/commands/gate.rs                              464               174    62.50%          34                13    61.76%         355               126    64.51%           0                 0         -
jankurai/src/commands/govern.rs                            109                14    87.16%           3                 0   100.00%          70                 3    95.71%           0                 0         -
jankurai/src/commands/history.rs                           107                72    32.71%           5                 2    60.00%          42                23    45.24%           0                 0         -
jankurai/src/commands/hooks.rs                             267                44    83.52%          18                 7    61.11%         150                14    90.67%           0                 0         -
jankurai/src/commands/init.rs                              383               118    69.19%          15                 8    46.67%         231                59    74.46%           0                 0         -
jankurai/src/commands/kickoff.rs                          1112               223    79.95%          47                 6    87.23%         869               164    81.13%           0                 0         -
jankurai/src/commands/migrate/inventory.rs                 347                77    77.81%           3                 0   100.00%         174                32    81.61%           0                 0         -
jankurai/src/commands/migrate/mod.rs                        71                42    40.85%           3                 1    66.67%          33                17    48.48%           0                 0         -
jankurai/src/commands/migrate/plan.rs                      204                 7    96.57%           2                 0   100.00%         117                 7    94.02%           0                 0         -
jankurai/src/commands/migrate/prompt_verify.rs            1013                97    90.42%          47                 4    91.49%         669                74    88.94%           0                 0         -
jankurai/src/commands/migrate/report.rs                    374                56    85.03%          11                 1    90.91%         231                34    85.28%           0                 0         -
jankurai/src/commands/migrate/slice_risk.rs               1043               122    88.30%          58                 6    89.66%         693                98    85.86%           0                 0         -
jankurai/src/commands/optimize.rs                          850               129    84.82%          70                21    70.00%         565                66    88.32%           0                 0         -
jankurai/src/commands/paper.rs                             994               295    70.32%          63                20    68.25%         605               137    77.36%           0                 0         -
jankurai/src/commands/postmortem.rs                        484                81    83.26%          27                 5    81.48%         281                32    88.61%           0                 0         -
jankurai/src/commands/proof.rs                            1807               274    84.84%          86                19    77.91%        1131               162    85.68%           0                 0         -
jankurai/src/commands/proofbind.rs                          70                14    80.00%           4                 1    75.00%          56                 7    87.50%           0                 0         -
jankurai/src/commands/proofmark.rs                          58                12    79.31%           2                 0   100.00%          44                 5    88.64%           0                 0         -
jankurai/src/commands/publish.rs                           742               111    85.04%          35                 9    74.29%         525                72    86.29%           0                 0         -
jankurai/src/commands/registry.rs                          278                18    93.53%           7                 0   100.00%         171                 4    97.66%           0                 0         -
jankurai/src/commands/release_data.rs                      156                99    36.54%          14                 9    35.71%         112                65    41.96%           0                 0         -
jankurai/src/commands/repair.rs                            430                52    87.91%          17                 5    70.59%         266                24    90.98%           0                 0         -
jankurai/src/commands/repair_apply.rs                      718               141    80.36%          23                 1    95.65%         465               118    74.62%           0                 0         -
jankurai/src/commands/repair_git.rs                        416                72    82.69%          23                 7    69.57%         288                36    87.50%           0                 0         -
jankurai/src/commands/repair_plan.rs                       738               121    83.60%          42                 8    80.95%         493                77    84.38%           0                 0         -
jankurai/src/commands/repair_pr.rs                         587                47    91.99%          21                 0   100.00%         383                23    93.99%           0                 0         -
jankurai/src/commands/repair_real.rs                       470                99    78.94%           6                 0   100.00%         323                67    79.26%           0                 0         -
jankurai/src/commands/repair_tasks.rs                      869                78    91.02%          57                 9    84.21%         572                39    93.18%           0                 0         -
jankurai/src/commands/rules.rs                             320                75    76.56%          20                 2    90.00%         208                51    75.48%           0                 0         -
jankurai/src/commands/rust.rs                             1665               393    76.40%         129                29    77.52%        1166               248    78.73%           0                 0         -
jankurai/src/commands/score.rs                             357               304    14.85%          26                22    15.38%         193               162    16.06%           0                 0         -
jankurai/src/commands/security.rs                          492                75    84.76%          25                 5    80.00%         355                51    85.63%           0                 0         -
jankurai/src/commands/update.rs                           2472               914    63.03%         121                44    63.64%        1549               529    65.85%           0                 0         -
jankurai/src/commands/vibe.rs                              778                61    92.16%          30                 3    90.00%         514                37    92.80%           0                 0         -
jankurai/src/commands/witness.rs                           959               210    78.10%          69                22    68.12%         652               138    78.83%           0                 0         -
jankurai/src/init/adapters.rs                              298               114    61.74%          19                 7    63.16%         185                70    62.16%           0                 0         -
jankurai/src/init/ci.rs                                      3                 3     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
jankurai/src/init/detect.rs                                 43                 0   100.00%           4                 0   100.00%          42                 0   100.00%           0                 0         -
jankurai/src/init/merge.rs                                 300                30    90.00%          15                 3    80.00%         161                14    91.30%           0                 0         -
jankurai/src/init/package_manager.rs                        12                 3    75.00%           1                 0   100.00%          11                 3    72.73%           0                 0         -
jankurai/src/init/plan.rs                                  594                21    96.46%          26                 0   100.00%         466                11    97.64%           0                 0         -
jankurai/src/init/profiles.rs                              270                14    94.81%          22                 1    95.45%         164                 3    98.17%           0                 0         -
jankurai/src/init/templates.rs                              23                 0   100.00%           3                 0   100.00%          15                 0   100.00%           0                 0         -
jankurai/src/local_state.rs                                 26                 8    69.23%           2                 1    50.00%          18                 7    61.11%           0                 0         -
